2025-05-08 21:53:33,806 - INFO - Starting processing of 87 files
2025-05-08 21:55:26,032 - INFO - Starting processing of 47 files
2025-05-08 22:06:33,093 - INFO - Processed 49/49 files successfully
2025-05-08 22:10:27,545 - INFO - Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-05-08 22:15:11,695 - INFO - Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-05-08 22:17:24,475 - ERROR - Error processing pdf_eng\AAOIFI-19th-SB-Conf.-Arabic-Agenda-V9.pdf: 
2025-05-08 22:20:00,437 - ERROR - Error processing pdf_eng\AAOIFI-20th-SB-Conf.-Arabic-Agenda-V5LR.pdf: 
2025-05-08 22:20:34,023 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,023 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,029 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,030 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,030 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,030 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,030 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,030 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,030 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,037 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,038 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,038 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,039 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,039 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,039 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,040 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,040 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,041 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,042 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,043 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,043 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,045 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,046 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-08 22:20:34,046 - WARNING - CropBox missing from /Page, defaulting to MediaBox
